created_at,screen_name,text
2019-03-25 23:40:15,bizzwriter,b'RT @barryoreilly: There are many reasons why people get stuck doing the same things over and over again. The main one is the erroneous beli\xe2\x80\xa6'
2019-03-25 22:20:14,bizzwriter,b'Zig Ziglar has inspired millions around the world. Here is a taste of what he has to say https://t.co/aFMaTiQqBH #quotes #ZigZiglar'
2019-03-25 19:40:09,bizzwriter,b'Are you stuck working with a complete jerk? Here are some helpful survival tips https://t.co/UxzvjX0u38 #career #relationships'
2019-03-25 18:20:21,bizzwriter,b'RT @sprfsh_rachel: Be sure the #coaches you hire have a process to diagnose root cause issues.\n\nSome coaches employ a personality assessmen\xe2\x80\xa6'
2019-03-25 17:00:50,bizzwriter,b'These are the kind of meeting time-wasters to avoid at all costs https://t.co/JQ6E4PIh92 #meetings'
2019-03-25 16:24:04,bizzwriter,b'Google has quietly added DuckDuckGo as a search engine option for Chrome users in ~60 markets https://t.co/tkkgPD7uH2'
2019-03-25 15:40:20,bizzwriter,b'Failure is the condiment that gives success its flavor. \n\xe2\x80\x95 Truman Capote #quote'
2019-03-25 14:36:40,bizzwriter,b'This famous Silicon Valley venture capitalist proved himself to Steve Jobs by doing one surprising thing\xe2\x80\xa6 https://t.co/7TDdzCDGq2'
2019-03-25 14:20:11,bizzwriter,b'The smartest and most effective leaders avoid making these 21 avoidable mistakes https://t.co/5gDiXSRyl7 #leadership #communication'
2019-03-25 13:00:49,bizzwriter,"b""RT @melrobbins: Focus on who you'll be when you're happy, not what you'll have."""
2019-03-25 11:40:21,bizzwriter,"b'For all the awkward people in the world, give yourself a gentle nudge and the possibilities are endless\xe2\x80\xa6 https://t.co/QWt1yLDh9V'"
2019-03-25 09:00:40,bizzwriter,b'You may be surprised to find out that these symptoms could be a sign of too much stress in your life\xe2\x80\xa6 https://t.co/WWYWMcBIgN'
2019-03-25 03:40:23,bizzwriter,b'Looking for motivation and inspiration? Try this advice from Jessica Alba https://t.co/IDTkS4yHuU #JessicaAlba #quotes'
2019-03-25 03:19:10,bizzwriter,b'US to build six nuclear power plants in India https://t.co/is1Czx1SkU'
2019-03-25 02:20:10,bizzwriter,"b'RT @biznwes: White noise vs. Pink noise: Which sounds helps you concentrate, and which makes you more creative? - Idea to Value https://t.c\xe2\x80\xa6'"
2019-03-25 01:00:56,bizzwriter,b'Why treating every failure as an opportunity to learn is so important https://t.co/DnTjNrcH4G #personalgrowth'
2019-03-25 09:17:15,bizzwriter,Looking for motivation and inspiration? Try this advice from Jessica Alba https://www.inc.com/peter-economy/jessica-alba-19-inspiring-power-quotes-for-success.html … #JessicaAlba #quotes
2019-03-25 23:41:00,chrisbrogan,b'Really? - First all-women spacewalk canceled over lack of medium-sized spacesuits https://t.co/qYL5xfteBV #tech #feedly'
2019-03-25 22:20:23,chrisbrogan,b'@machinegunkelly - you did SO well in The Dirt. Man.'
