,Unnamed: 0,created_at,screen_name,text,slot,document_topic
0,1,2019-03-25 23:40:15,bizzwriter,      RT arryoreilly There are many reasons why people get stuck doing the same things over and over again The main one is the erroneous eli                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,174,7
1,2,2019-03-25 22:20:14,bizzwriter,      Zig Ziglar has inspired millions around the world Here is a taste of what he has to say  quotes ZigZiglar                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,158,7
2,3,2019-03-25 19:40:09,bizzwriter,      Are you stuck working with a complete jerk Here are some helpful survival tips  career relationships                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,137,9
3,4,2019-03-25 18:20:21,bizzwriter,      RT sprfsh_rachel Be sure the coaches you hire have a process to diagnose root cause issuesSome coaches employ a personality assessmen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,121,7
4,5,2019-03-25 17:00:50,bizzwriter,      These are the kind of meeting timewasters to avoid at all costs  meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,115,7
5,6,2019-03-25 16:24:04,bizzwriter,      Google has quietly added DuckDuckGo as a search engine option for Chrome users in  markets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,110,10
6,7,2019-03-25 15:40:20,bizzwriter,      Failure is the condiment that gives success its flavor  Truman Capote quote                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,101,7
7,8,2019-03-25 14:36:40,bizzwriter,      This famous Silicon Valley venture capitalist proved himself to Steve Jos y doing one surprising thing                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,90,4
8,9,2019-03-25 14:20:11,bizzwriter,      The smartest and most effective leaders avoid making these  avoidale mistakes  leadership communication                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,82,5
9,10,2019-03-25 13:00:49,bizzwriter,     RT melroins Focus on who youll e when youre happy not what youll have                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,74,1
10,11,2019-03-25 11:40:21,bizzwriter,     For all the awkward people in the world give yourself a gentle nudge and the possiilities are endless                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,45,7
11,12,2019-03-25 09:00:40,bizzwriter,     You may e surprised to find out that these symptoms could e a sign of too much stress in your life                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,207,8
12,13,2019-03-25 03:40:23,bizzwriter,     Looking for motivation and inspiration Try this advice from Jessica Ala  JessicaAla quotes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,202,4
13,14,2019-03-25 03:19:10,bizzwriter,     US to uild six nuclear power plants in India                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,188,6
