created_at,screen_name,text,slot,document_topic
2019-03-25 03:46:16,alyssa_milano,     Self careRed velvet with cream cheese frosting                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,0,5
2019-03-25 19:10:22,jade78052492,    This will happen He will realize his other ventures will e not as good as he thinks and then join in week                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,1,10
2019-03-25 00:17:13,jeanettejoy,    For the philosopher is right who says that nothing is thicker than a knifes lade separates happiness from melanc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,2,5
2019-03-25 00:01:40,jeanettejoy,    The most eautiful moments in life are moments when you are expressing your joy not when you are seeking it  S                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2,9
2019-03-25 00:09:08,jeanettejoy,     the sun rise in the east                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2,9
2019-03-25 00:29:21,mollie_Apso1,    Maggarooo Did you win                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,3,1
2019-03-25 00:16:03,mollie_Apso1,    WheatenMaggie PA used to love it when she cooked it                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,3,2
2019-03-25 11:21:10,sagarsamy,    Thanks JagoPakistan_ for hosting me DunyaNews Great meet and network with Rizwan  Anadil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,4,7
2019-03-25 07:22:30,Caffeinefreak,    Birth control                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,5,7
2019-03-25 05:27:00,TomHall,    Was that the  PM express to Denmark I knew I should have left sooner                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,6,3
